Id,Start time,Completion time,Location,Job Title,Industry,JupyterNotebookLevel,Expectations
27,1/13/2024 18:07,1/13/2024 18:08,United States,Faculty,Education,Beginner,Learn more about Jupyter notebooks to develop course content.
28,1/15/2024 6:46,1/15/2024 6:47,Australia ,Student,Student,Beginner,How i can use juypternotebooks in learning about cybersecurity 
29,1/16/2024 3:15,1/16/2024 3:16,Norway,Security analyst /engineer ,Technology,Intermediate,
30,1/16/2024 8:47,1/16/2024 8:48,Norway,Senior Security Analyst,Technology,Beginner,"EVERYTHING, or anything.. at least something... I need to get into this game, thats all I know, and Im here for it"
31,1/17/2024 13:18,1/17/2024 13:20,United Kingdom ,TS Security Compliance & Identity,Technology,Beginner,
32,1/17/2024 13:39,1/17/2024 13:40,United Kingdom,Lead detection engineer,Technology,Advanced,Usage of msticpy for threat hunting
33,1/17/2024 13:46,1/17/2024 13:48,Turkey,Cybersecurity expert,Technology,Beginner,
34,1/17/2024 14:17,1/17/2024 14:23,India,Consultant,Technology,Beginner,"To take a basic use case and understand the depth of Jupiter notebook in Microsoft Sentinel.
Atleast to be capable to implement all the native jupyter notebooks of Microsoft Sentinel"
35,1/17/2024 14:31,1/17/2024 14:32,United States,Security,Technology,Beginner,
36,1/17/2024 15:31,1/17/2024 15:32,United States,Data deobfuscation djinni,Technology,Intermediate,
37,1/17/2024 16:24,1/17/2024 16:26,Brazil,Security Technical Specialist,Technology,Intermediate,Refresh Jupyter Notebook knowledge and learn more on how to apply it to Cybersecurity
38,1/17/2024 16:50,1/17/2024 16:51,United States,Incident Response Advisor,Technology,Intermediate,
39,1/17/2024 17:14,1/17/2024 17:15,Australia,Cloud solution architect,Technology,Beginner,Hope to learn how to best utilise msticpy 
40,1/17/2024 18:49,1/17/2024 18:50,United States,Security Analyst,Consulting,Beginner,
41,1/17/2024 19:21,1/17/2024 19:23,India,Cyber Security Engineer,Consulting,Intermediate,"Python latest research, methodology"
42,1/17/2024 21:18,1/17/2024 21:21,United States,Security Analyst,Technology,Intermediate,Latest and greatest useful ways to use notebooks for security
43,1/18/2024 1:24,1/18/2024 1:25,Venezuela,Threat Hunter ,Consulting,Beginner,
44,1/18/2024 1:22,1/18/2024 1:31,United States ,Cybersecurity Engineer ,Finance,Beginner,How to start threat hunting and developing more detections with Jupyter notebooks
45,1/18/2024 5:15,1/18/2024 5:17,Germany,Senior Consultant IR/Forensics,Consulting,Advanced,
46,1/18/2024 6:51,1/18/2024 6:52,United States,Security Researcher,Technology,Intermediate,Security applications
47,1/18/2024 9:21,1/18/2024 9:23,United States,Software Engineer 2 ,Technology,Beginner,"No expectations, just excited to learn a bit more about Jupyter"
48,1/18/2024 10:17,1/18/2024 10:18,India,Data engineer,Student,Intermediate,Advance features 
49,1/18/2024 10:18,1/18/2024 10:19,India ,Student,Student,Beginner,Yes
50,1/17/2024 14:11,1/18/2024 10:19,United States,Intel Analyst,Finance,Beginner,
51,1/18/2024 10:19,1/18/2024 10:22,India,Student,Student,Beginner,Functionality
52,1/18/2024 10:20,1/18/2024 10:22,India,Service Engineer ,Technology,Intermediate,"Techniques and efficient way of writing jupyter notebooks,"
53,1/18/2024 10:21,1/18/2024 10:24,India,Student ,Student,Beginner,
54,1/18/2024 10:23,1/18/2024 10:25,India,Student ,Technology,Intermediate,How we can use Jupiter notebook ifecently 
55,1/18/2024 10:28,1/18/2024 10:31,India,Student,Student,Beginner,
57,1/18/2024 10:56,1/18/2024 10:57,India,Student ,Student,Intermediate,
58,1/18/2024 10:57,1/18/2024 10:59,United States,Threat Intelligence Lead,Technology,Intermediate,
59,1/18/2024 11:06,1/18/2024 11:07,India,Student,Student,Beginner,Yes
60,1/18/2024 11:13,1/18/2024 11:17,India,Student,Student,Intermediate,How to use jupyter effectively.
61,1/18/2024 11:30,1/18/2024 11:32,India ,Student ,Student,Intermediate,
62,1/18/2024 12:25,1/18/2024 12:26,United States,Technical PM,Technology,Beginner,automated incident response runbooks 
64,1/18/2024 15:14,1/18/2024 15:16,United States,Security Engineer,Technology,Beginner,How it can be used for InfoSec
65,1/18/2024 16:24,1/18/2024 16:25,United States,Security Consultant,Technology,Beginner,
66,1/18/2024 17:03,1/18/2024 17:04,Argentina,It analyst,Finance,Beginner,
67,1/19/2024 4:48,1/19/2024 4:49,Pakistan ,SOC Analyst L2 ,Consulting,Beginner,To learn
68,1/19/2024 9:53,1/19/2024 9:57,India,student,Student,Intermediate,python coding etc
69,1/19/2024 10:41,1/19/2024 10:46,United States,Threat Intelligence Lead,Finance,Intermediate,
70,1/19/2024 21:43,1/19/2024 21:44,United States,Senior Cybersecurity Engineer,Hotel & Food Services,Advanced,How everyone else is employing Jupyter in their day-to-day
72,1/20/2024 5:15,1/20/2024 5:17,United States,Prof,Education,Beginner,General use of notebooks and automation detection of badness.
73,1/20/2024 8:37,1/20/2024 8:38,United States,SOC Manager,Education,Beginner,Learn about Jupyter notebooks. See what people are up to.
74,1/20/2024 10:13,1/20/2024 10:15,United States,PM,Technology,Beginner,How to investigate & respond to threats using automation
75,1/20/2024 10:52,1/20/2024 10:59,United States,Cyber incident response analyst ,Consulting,Beginner,Want to learn how they have used Jupyter Notebook in security field to identify malicious or suspicious activity based on various data sources from a perspective of data analysis or statistics.
76,1/20/2024 23:07,1/20/2024 23:09,India,Student ,Student,Intermediate,Advance jupyter notebook which help to handle the projects
77,1/21/2024 12:25,1/21/2024 12:28,United States,Principal Software Engineer Manager,Technology,Expert,
78,1/21/2024 16:12,1/21/2024 16:13,Switzerland,Independent Threat Researcher,Technology,Intermediate,
79,1/22/2024 7:14,1/22/2024 7:15,united kingdom,lead detection engineer,Technology,Advanced,
80,1/22/2024 11:31,1/22/2024 11:32,Canada,MDR,Consulting,Intermediate,
81,1/22/2024 12:02,1/22/2024 12:04,United Kingdom,Principal Threat Intelligence Analyst,Technology,Advanced,Establish the latest trends that people are making notebooks to tackle. Have been working on some to open source but not ready in time to submit for a talk
82,1/22/2024 14:29,1/22/2024 14:30,United States,Student,Education,Intermediate,
83,1/22/2024 12:29,1/22/2024 15:30,Canada,Director,Consulting,Beginner,Understanding how it can help my team and our business
84,1/22/2024 18:11,1/22/2024 18:12,United Kingdom,Threat Hunter ,Technology,Intermediate,
85,1/22/2024 19:55,1/22/2024 19:58,United States,Principal Lead Threat Research ,Finance,Beginner,Better understand how to use Jupyter in my daily threat research tasks
86,1/22/2024 20:37,1/22/2024 20:37,united states,sr technical director,Technology,Intermediate,more ideas and insights!
87,1/22/2024 22:07,1/22/2024 22:10,Australia,Adversary Emulation Specialist,Technology,Beginner,I have been using Jupyter Notebooks recently in developing tools that interact with public AI models. My primary role however is in offensive cyber security and I would like to learn more about how I can use Jupyter in that context.
88,1/22/2024 22:10,1/22/2024 22:12,United States,Security Engineer,Technology,Intermediate,Just see cool security work blended with data science and ml in notebooks. 
89,1/23/2024 0:15,1/23/2024 0:16,South Africa,Head IR,Finance,Beginner,Insights for myself and team. 
90,1/23/2024 3:43,1/23/2024 3:46,France ,Detection Engineer,Technology,Intermediate,
91,1/23/2024 6:51,1/23/2024 6:52,United States,Director of Threat Detection Engineering,Finance,Intermediate,
92,1/23/2024 14:08,1/23/2024 14:09,India,Threat Detection Engineer,Technology,Beginner,How to start out using Notebooks for threat hunts
93,1/24/2024 4:03,1/24/2024 4:05,India,Threat Analyst,Technology,Intermediate,
94,1/24/2024 12:55,1/24/2024 12:56,Mozambique,Research ,Consulting,Beginner,
95,1/24/2024 17:11,1/24/2024 17:13,Switzerland,Advanced Threat Operations Lead,Technology,Advanced,Learn and interact with the attendees on nb best practices
96,1/25/2024 7:37,1/25/2024 7:45,MALAYSIA,NETWORK ENGINEEER,Technology,Intermediate,
97,1/25/2024 7:54,1/25/2024 7:55,Malaysia,Network Security Engineer,Technology,Intermediate,More knowledge about Jupyter Notebooks
98,1/25/2024 9:10,1/25/2024 9:12,MALAYSIA,ENGINEER,Education,Beginner,Exploring difference use case 
99,1/25/2024 20:24,1/25/2024 20:30,MALAYSIA,OSINT DATA ANALYST,Technology,Intermediate,"I hope to hear about real-world applications of JupyterLab in various domains, such as academia, industry, and research. Additionally, I am hoping to understand the concept of interactive computing and how JupyterLab facilitates an interactive and exploratory data science workflow."
100,1/26/2024 12:35,1/26/2024 12:39,India,Student,Technology,Beginner,
101,1/27/2024 7:17,1/27/2024 7:19,Australia,Associate Cyber Engineer ,Finance,Intermediate,As much as possible!
102,1/29/2024 9:23,1/29/2024 9:24,India,Security analyst,Technology,Beginner,okta
103,1/29/2024 12:15,1/29/2024 12:16,United States,Researcher,Technology,Beginner,
104,1/29/2024 13:06,1/29/2024 13:07,United States,security engineer,Technology,Beginner,
105,1/29/2024 13:05,1/29/2024 13:07,Kuwait,Cybersecurity Specialist ,Technology,Beginner,anything
106,1/29/2024 13:08,1/29/2024 13:09,Malawi,Security Engineer ,Finance,Beginner,
107,1/29/2024 13:09,1/29/2024 13:10,Dominican Republic ,Security analyst ,Healthcare,Beginner,
108,1/29/2024 13:12,1/29/2024 13:13,Poland,Security Researcher,Technology,Advanced,
109,1/29/2024 13:12,1/29/2024 13:13,India,Security Analyst ,Technology,Beginner,To become a guru of the product
110,1/29/2024 13:20,1/29/2024 13:21,Canada,"Director, Cybersecurity ",Retail,Beginner,
111,1/29/2024 13:26,1/29/2024 13:27,United Kingdom,Senior Security Analyst ,Technology,Beginner,Use cases & concepts to improve SOC operations using Jupyter notebooks.
112,1/29/2024 13:28,1/29/2024 13:29,United Kingdom,principal security delivery manager,Technology,Beginner,
113,1/29/2024 13:32,1/29/2024 13:34,india,Founder,Technology,Beginner,
114,1/29/2024 13:33,1/29/2024 13:35,Serbia,Cloud solutions architect ,Technology,Beginner,Need a new perspective on infosec tools
115,1/29/2024 13:38,1/29/2024 13:39,Canada,IT Security Specialist,Technology,Beginner,Learn more about notebooks and their applications
116,1/29/2024 13:53,1/29/2024 13:54,Netherlands ,Consultant ,Consulting,Beginner,
117,1/29/2024 13:58,1/29/2024 13:58,India,CTI,Finance,Expert,
118,1/29/2024 13:59,1/29/2024 14:00,India,InfoSec Engineer,Finance,Beginner,
119,1/29/2024 14:01,1/29/2024 14:04,South Korea,Security Researcher,Technology,Intermediate,How to use Jupyter Notebooks for threat hunting 
120,1/29/2024 14:13,1/29/2024 14:14,Turkey,Cybersecurity expert,Technology,Beginner,
121,1/29/2024 14:13,1/29/2024 14:14,Poland,CSA,Technology,Intermediate,
122,1/29/2024 14:27,1/29/2024 14:28,Trinidad and Tobago ,Security Engineer ,Finance,Intermediate,
124,1/29/2024 14:53,1/29/2024 14:53,United States,Threat Researcher,Technology,Beginner,
125,1/29/2024 14:54,1/29/2024 14:55,Norway,Security analyst,Technology,Advanced,
126,1/29/2024 15:03,1/29/2024 15:04,India,Global Lead - Cyber Defense ,Hotel & Food Services,Beginner,
127,1/29/2024 15:21,1/29/2024 15:21,United States,Sr. Cybersecurity Consultant ,Technology,Beginner,
128,1/29/2024 15:23,1/29/2024 15:23,United States,Information Security Engineer,Education,Beginner,More about Jupyter Notebooks
129,1/29/2024 15:26,1/29/2024 15:27,United States,IT Security & Compliance Analyst,Retail,Beginner,Whether the product is a good fit for our organization. 
130,1/29/2024 15:26,1/29/2024 15:27,United States,Security engineer ,Technology,Intermediate,
131,1/29/2024 15:18,1/29/2024 15:27,Italy,Cybersecurity Technology Specialist,Technology,Intermediate,"Building data-driven security tools with Streamlit
Red teaming LLMs with Jupyter notebooks
Automating adversary emulation"
132,1/29/2024 15:40,1/29/2024 15:41,Canada,IT Manager,Technology,Intermediate,Interaction with SIEM tools
133,1/29/2024 15:41,1/29/2024 15:42,United Kingdom,Cyber Security Analyst,Technology,Intermediate,To utilise this within my role of the SOC at my current workplace 
134,1/29/2024 15:51,1/29/2024 15:52,India,Security engineer ,Technology,Beginner,Twitter
135,1/29/2024 15:52,1/29/2024 15:53,Spain,Security Researcher,Technology,Intermediate,"new capabilities, how to collaborate"
136,1/29/2024 15:57,1/29/2024 15:59,Austria,Security Technical Specialist,Technology,Beginner,Use cases
137,1/29/2024 15:53,1/29/2024 16:02,Nigeria,Student,Student,Beginner,"I have just begin my journey into cybersecurity, currently enrolled in MSc Cybersecurity, I'd love to learn how notebooks are used interactively for threat detection and response, or as automated tasks in a larger pipeline of diiferent security situation."
138,1/29/2024 16:07,1/29/2024 16:08,United States,Research Analyst,Technology,Intermediate,Looking to learn more about applicaiton of notebooks to security topics 
139,1/29/2024 17:12,1/29/2024 17:17,United States,Security Architect,Consulting,Beginner,To improve my personal skills on this technology
140,1/29/2024 17:17,1/29/2024 17:18,Spain,DFIR,Consulting,Beginner,
141,1/29/2024 17:21,1/29/2024 17:23,Vietnam,IT Security,Technology,Intermediate,
142,1/29/2024 17:26,1/29/2024 17:28,United States,CyberSecOps,Finance,Beginner,
143,1/29/2024 17:52,1/29/2024 17:59,United Kingdom,IT Manager,Technology,Beginner,To learn more
144,1/29/2024 18:00,1/29/2024 18:02,United States,Security Engineer,Finance,Beginner,
145,1/29/2024 18:08,1/29/2024 18:08,United States,Architect ,Technology,Intermediate,More knowledge 
146,1/29/2024 18:10,1/29/2024 18:12,United States,Architect,Technology,Intermediate,more knowledge
147,1/29/2024 18:13,1/29/2024 18:15,Ghana,IT Auditor ,Finance,Beginner,Best practices 
148,1/29/2024 18:16,1/29/2024 18:18,Ghana,IT Auditor ,Finance,Beginner,Learn something new 
149,1/29/2024 18:19,1/29/2024 18:20,South Africa,Security Specialist,Finance,Beginner,How you can better utilise Jupyter to better protect an enterprise environment.
151,1/29/2024 19:07,1/29/2024 19:08,United States,Senior Security analyst ,Retail,Beginner,As much as possible 
152,1/29/2024 19:18,1/29/2024 19:20,New Zealand,Security consultant,Technology,Intermediate,Improve skills and gain insight into new scenarios
153,1/29/2024 19:24,1/29/2024 19:26,New Zealand,Cyber Security Analyst,Technology,Beginner,
154,1/29/2024 19:40,1/29/2024 19:43,Singapore,Assistant Manager,Technology,Beginner,Able to use Jupyter to learn Python and able to script in Python and use it on threat intelligent.
155,1/29/2024 20:24,1/29/2024 20:25,Singapore,Researcher,Technology,Beginner,Newbie and would like to learn what Jupyter can do!
156,1/29/2024 20:37,1/29/2024 20:38,India,Consultant ,Consulting,Beginner,
157,1/29/2024 20:53,1/29/2024 20:56,India,Sr.lead,Technology,Intermediate,How notebooks can be effectively utilized on monitoring and mitigating threats. 
158,1/29/2024 21:02,1/29/2024 21:02,United States,VP PM,Technology,Intermediate,
159,1/29/2024 21:21,1/29/2024 21:21,Singapore,Noob,Technology,Intermediate,
160,1/29/2024 21:40,1/29/2024 21:41,India,Security Specialist ,Technology,Beginner,How to use for threat hunting and analysis 
161,1/29/2024 22:18,1/29/2024 22:19,Malaysia,Security Consultant,Consulting,Beginner,
162,1/29/2024 22:23,1/29/2024 22:24,United States,Security Engineer ,Technology,Beginner,
163,1/29/2024 22:48,1/29/2024 22:49,Philippines,Security Engineer,Healthcare,Beginner,
164,1/29/2024 23:01,1/29/2024 23:01,Mexico,Security Delivery Manager,Technology,Beginner,
166,1/29/2024 23:10,1/29/2024 23:12,Mexico,Student,Student,Beginner,How to is used in cybersecurity
167,1/29/2024 23:22,1/29/2024 23:24,Singapore,Senior Detection and Response Analyst,Technology,Beginner,
168,1/29/2024 23:33,1/29/2024 23:35,India,Analyst ,Technology,Beginner,possible use case for Jupyter Notebooks
169,1/29/2024 23:35,1/29/2024 23:37,Singapore,Cybersecurity Engineer,Technology,Beginner,To learn Jupyter Notebooks from scratch to advanced
170,1/30/2024 0:14,1/30/2024 0:16,United States,Infosec Manager,Education,Beginner,Blue Teaming 
171,1/30/2024 1:00,1/30/2024 1:01,United States,Information Security Analyst,Education,Beginner,
172,1/30/2024 1:13,1/30/2024 1:14,United States,IT Security Professional,Consulting,Beginner,
173,1/30/2024 1:13,1/30/2024 1:15,Uganda,Cybersecurity Analyst ,Technology,Beginner,How to get started using Jupyter notebooks to analyze data.
174,1/30/2024 2:13,1/30/2024 2:15,Malaysia,SOC Analyst L1,Technology,Intermediate,Wants to grab some knowledge about how JUPYTER Playbook works
175,1/30/2024 2:49,1/30/2024 2:53,India,Cloud Security Specialist,Technology,Intermediate,Get new ideas etc. 
176,1/30/2024 3:53,1/30/2024 3:54,Philippines ,Cyber Security Analyst,Finance,Intermediate,Everything 
177,1/30/2024 4:03,1/30/2024 4:05,India,CYBER SECURITY ENGINEER,Retail,Beginner,
178,1/30/2024 4:11,1/30/2024 4:12,Australia,Principle IR consultant,Consulting,Intermediate,
179,1/30/2024 2:14,1/30/2024 4:25,Netherlands,Security Analist,Technology,Beginner,How to apply them during red team operations
180,1/30/2024 5:09,1/30/2024 5:10,Portugal,Security Engineer,Finance,Beginner,
181,1/30/2024 5:15,1/30/2024 5:17,Netherlands,Security Consultant / SOC Analyst,Technology,Beginner,
182,1/30/2024 5:23,1/30/2024 5:24,Sweden,Seniour Threat Analyst,Finance,Intermediate,AI AI AI 
183,1/30/2024 5:30,1/30/2024 5:31,Canada ,Cloud Solutions Developer,Education,Intermediate,
185,1/30/2024 5:54,1/30/2024 5:54,United States,Cyber ,Finance,Beginner,
186,1/30/2024 6:03,1/30/2024 6:11,United States,Security Researcher,Technology,Beginner,"Get an understanding about Jupyter Notebooks, and obtain the knowledge to get started with using them myself."
187,1/30/2024 6:49,1/30/2024 6:51,Finland,Security Engineer,Consulting,Intermediate,"How they can be utilised in information security research.
"
188,1/30/2024 7:11,1/30/2024 7:17,United States,Principal Analyst,Technology,Intermediate,I expect to learn more of the capabilities of Jupyter Notebooks as well as some useful ones created by the community that I can use.  I also expect to get some ideas on how to enhance the ones I have and will create.
189,1/30/2024 7:25,1/30/2024 7:26,United States,Sr systems engineer ,Technology,Intermediate,
190,1/30/2024 7:42,1/30/2024 7:43,Finland,Cloud Security Architect,Consulting,Beginner,How to use Jupyter Notebooks in day 2 day secops.
191,1/30/2024 7:47,1/30/2024 7:48,United States,Cybersecurity specialist ,Technology,Beginner,
192,1/30/2024 8:09,1/30/2024 8:14,United States,System Engineer,Retail,Intermediate,To learn how Jupyter notebooks are being used in cybersecurity.
193,1/30/2024 8:38,1/30/2024 8:39,Canada,IT,Consulting,Intermediate,
194,1/30/2024 8:37,1/30/2024 8:40,United Kingdom,CTI analyst ,Technology,Advanced,BAU
195,1/30/2024 8:42,1/30/2024 8:44,United States,Threat Hunter,Technology,Beginner,
196,1/30/2024 8:45,1/30/2024 8:45,Japan,Security Engineering guy,Finance,Intermediate,
197,1/30/2024 8:54,1/30/2024 8:55,United States,Co founder ,Consulting,Advanced,
198,1/30/2024 8:57,1/30/2024 8:58,Switzerland,Security researcher,Retail,Beginner,
199,1/30/2024 8:58,1/30/2024 8:59,United Kingdom,Student,Student,Beginner,
200,1/30/2024 9:33,1/30/2024 9:34,United States,CERT Specialist,Technology,Beginner,using notebooks for security event analysis
201,1/30/2024 9:39,1/30/2024 9:40,Canada,Cloud Architect,Technology,Intermediate,
202,1/30/2024 9:48,1/30/2024 9:51,United States,Sr. Security Operations Engineer ,Technology,Intermediate,Different use cases and approaches to problem solving using notebooks
203,1/30/2024 10:00,1/30/2024 10:01,United States,SecOps Engineer,Technology,Beginner,Everything
204,1/30/2024 9:58,1/30/2024 10:07,United Kingdom,Cyber Security Operations Engineer,Technology,Beginner,I expect to learn how Jupyter Notebook can help me in my day to day tasks. Also learn how to code and what level of code is needed for Jupyter Notebook.
205,1/30/2024 10:09,1/30/2024 10:11,India,Security Analyst-L3,Finance,Intermediate,Want to learn new stuff in advance level. 
206,1/30/2024 10:36,1/30/2024 10:36,United States,Security Engineer,Technology,Intermediate,
207,1/30/2024 10:46,1/30/2024 10:49,United States,Security Engineer,Technology,Beginner,Stumbled upon this and was curious how Jupyter Notebooks can help me and my organization to automate threat detection and response.
208,1/30/2024 11:10,1/30/2024 11:11,United States,Graduate Student and a Data Analyst,Education,Beginner,
209,1/30/2024 11:58,1/30/2024 12:00,Finland,Threat Intelligence Specialist,Technology,Beginner,
210,1/30/2024 12:37,1/30/2024 12:39,United States,Senior Security Operations Engineer,Technology,Beginner,How to use Jupyter Notebooks more effectively
211,1/30/2024 9:58,1/30/2024 12:52,United States,Security Operations Engineer,Technology,Beginner,Gain a better understanding of capabilities of Jupyter notebook so I can implement them into my own workflow.
212,1/30/2024 13:17,1/30/2024 13:18,United States,Principal Threat Hunter ,Technology,Beginner,How I can use them to do model assisted threat hunting 
213,1/30/2024 13:47,1/30/2024 13:48,United States,Threat Hunter,Technology,Beginner,
214,1/30/2024 15:47,1/30/2024 15:48,United States,Senior Intelligence Enablement Consultant,Consulting,Intermediate,Using Jupyter Notebooks to interact with data in support of repeatable processes. 
215,1/30/2024 15:45,1/30/2024 15:49,Canada,"Senior Manager, Threat Defence",Consulting,Beginner,Looking to ramp up quickly on some good use cases for Jupyter to improve my automation & scripting skills!
216,1/30/2024 15:47,1/30/2024 15:55,Norway,Security Researcher,Technology,Intermediate,
217,1/30/2024 16:02,1/30/2024 16:04,United States,Security CSA,Technology,Beginner,
218,1/30/2024 16:35,1/30/2024 16:37,United States,Security Engineer,Technology,Beginner,"I would like to see how other people are using Notebooks. I am not using them currently, but I did on a previous team."
219,1/30/2024 16:53,1/30/2024 16:54,United States,Head of Threat Research,Technology,Intermediate,Anything and everything!
220,1/30/2024 17:01,1/30/2024 17:01,United States,Threat Researcher,Retail,Intermediate,
221,1/30/2024 17:05,1/30/2024 17:10,United States,Student,Technology,Beginner,How it can be used and apply to an organization's CTI
222,1/30/2024 17:24,1/30/2024 17:25,United States,Senior Security Research Manager,Technology,Beginner,Simply hoping to continue learning via the experiences of others. 
223,1/30/2024 17:32,1/30/2024 17:33,United States,Threat Intelligence Researcher,Technology,Beginner,How to leverage it for daily workflow
224,1/30/2024 17:47,1/30/2024 17:48,United States,Threat Analyst,Technology,Beginner,
225,1/30/2024 18:45,1/30/2024 18:46,Colombia,Responsable Seguridad Tecnol�gica,Technology,Beginner,Usos y mejores pr�cticas en ciberseguridad desde la perspectiva pr�ctica 
226,1/30/2024 18:49,1/30/2024 18:50,United States,TPM,Technology,Beginner,It'll all be new to me.
227,1/30/2024 19:12,1/30/2024 19:14,United States,Information Security Analyst,Finance,Beginner,Possible use cases and ways to expand our security tools.
228,1/30/2024 19:26,1/30/2024 19:26,South Korea,Director,Technology,Intermediate,
229,1/30/2024 19:37,1/30/2024 19:40,Singapore ,Technical Specialist ,Technology,Beginner,
230,1/30/2024 21:44,1/30/2024 21:46,United States,Cloud Security Administrator ,Technology,Beginner,Any and everything
231,1/30/2024 21:52,1/30/2024 21:54,Colombia,Analista junios de Seguridad Tecnol�gica,Technology,Intermediate,Cacer�a de amenzas
232,1/31/2024 0:32,1/31/2024 0:34,Finland,Pentester,Technology,Beginner,
234,1/31/2024 1:31,1/31/2024 1:33,South Africa,Threat Intel Analyst,Technology,Beginner,"Defend against and prepare for cyber threats, "
235,1/31/2024 1:48,1/31/2024 1:49,United Kingdom,SOC Manager,Finance,Beginner,"Looking to gain insight from others, I'm a beginner."
236,1/31/2024 3:06,1/31/2024 3:07,Turkey,Manager,Technology,Beginner,
237,1/31/2024 3:05,1/31/2024 3:08,Italy,Security Architect,Technology,Beginner,New skills for blue team activities
238,1/31/2024 3:24,1/31/2024 3:24,Portugal,Security Researcher,Technology,Beginner,
239,1/31/2024 4:13,1/31/2024 4:14,United Kingdom,Engineer,Technology,Intermediate,
240,1/31/2024 4:25,1/31/2024 4:26,czech republic,Security Engineer,Consulting,Beginner,
241,1/31/2024 4:52,1/31/2024 4:59,France,IT System Engineer.,Technology,Beginner,Improve my knowledge and my own notebooks..
242,1/31/2024 5:14,1/31/2024 5:15,India,Data Engineer,Technology,Beginner,Possibilities of Improving SOC
243,1/31/2024 5:30,1/31/2024 5:31,Poland,SOC Analyst,Retail,Beginner,
244,1/31/2024 5:47,1/31/2024 5:48,United Kingdom,Snr Sec Engineer,Technology,Beginner,Benefits of Jupyter
245,1/31/2024 5:49,1/31/2024 5:51,India,Data Scientist,Technology,Expert,Explore machine learning use cases for cyber security enhancement.
246,1/31/2024 5:51,1/31/2024 5:52,United Kingdom,Security Engineer,Technology,Beginner,
247,1/31/2024 5:58,1/31/2024 6:00,United States,Senior Research Analyst,Healthcare,Expert,
